Name	Caller	Count	CNOT:Average	CNOT:SecondMoment	CNOT:Variance	CNOT:Min	CNOT:Max	QubitClifford:Average	QubitClifford:SecondMoment	QubitClifford:Variance	QubitClifford:Min	QubitClifford:Max	R:Average	R:SecondMoment	R:Variance	R:Min	R:Max	Measure:Average	Measure:SecondMoment	Measure:Variance	Measure:Min	Measure:Max	T:Average	T:SecondMoment	T:Variance	T:Min	T:Max
Microsoft.Quantum.Canon.IntArrayFromRange:Body	Microsoft.Quantum.Chemistry.JordanWigner.PQandPQQRTermToPauliGenIdx_:Body	1718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Canon.ConstantArray:Body	Microsoft.Quantum.Chemistry.JordanWigner.PQandPQQRTermToPauliGenIdx_:Body	2952	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Canon.IntArrayFromRange:Body	Microsoft.Quantum.Chemistry.JordanWigner.V0123TermToPauliGenIdx_:Body	4010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Extensions.Math.AbsD:Body	Microsoft.Quantum.Chemistry.IsNotZero:Body	16040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Extensions.Math.PowD:Body	Microsoft.Quantum.Chemistry.IsNotZero:Body	16040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Chemistry.IsNotZero:Body	Microsoft.Quantum.Chemistry.JordanWigner.V0123TermToPauliGenIdx_:Body	16040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Canon.ConstantArray:Body	Microsoft.Quantum.Chemistry.JordanWigner.V0123TermToPauliGenIdx_:Body	8664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Chemistry.JordanWigner.V0123TermToPauliGenIdx_:Body	Microsoft.Quantum.Chemistry.JordanWigner.JordanWignerBlockEncodingGeneratorSystem:Body	2005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Canon.LookupFunction:Body	Microsoft.Quantum.Chemistry.JordanWigner.JordanWignerBlockEncodingGeneratorSystem:Body	1	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0
Microsoft.Quantum.Chemistry.JordanWigner.JordanWignerBlockEncodingGeneratorSystem:Body	Microsoft.Quantum.Chemistry.JordanWigner.QubitizationOracleSeperatedRegisters_:Body	1	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0
Microsoft.Quantum.Canon.IntArrayFromRange:Body	Microsoft.Quantum.Canon.PauliBlockEncodingImpl:Body	1	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0
Microsoft.Quantum.Canon.LookupImpl:Body	Microsoft.Quantum.Canon.IdxToCoeff_:Body	12017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Canon.PauliCoefficientFromGenIdx:Body	Microsoft.Quantum.Canon.IdxToCoeff_:Body	12017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Extensions.Math.AbsD:Body	Microsoft.Quantum.Canon.IdxToCoeff_:Body	12017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Extensions.Math.Sqrt:Body	Microsoft.Quantum.Canon.IdxToCoeff_:Body	12017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Canon.IdxToCoeff_:Body	Microsoft.Quantum.Canon.Map:Body	12017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Canon.Map:Body	Microsoft.Quantum.Canon.PauliBlockEncodingImpl:Body	1	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0
Microsoft.Quantum.Extensions.Math.AbsD:Body	Microsoft.Quantum.Canon.PNorm:Body	12017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Extensions.Math.PowD:Body	Microsoft.Quantum.Canon.PNorm:Body	12018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Canon.PNorm:Body	Microsoft.Quantum.Canon.PauliBlockEncodingImpl:Body	1	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0
Microsoft.Quantum.Extensions.Math.PowD:Body	Microsoft.Quantum.Canon.PauliBlockEncodingImpl:Body	1	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0
Microsoft.Quantum.Extensions.Math.AbsD:Body	Microsoft.Quantum.Canon.StatePreparationPositiveCoefficients:Body	12017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Canon.StatePreparationPositiveCoefficients:Body	Microsoft.Quantum.Canon.PauliBlockEncodingImpl:Body	1	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0
Microsoft.Quantum.Canon.MultiplexerFromGenerator:Body	Microsoft.Quantum.Canon.PauliBlockEncodingImpl:Body	1	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0
Microsoft.Quantum.Canon.BlockEncodingByLCU:Body	Microsoft.Quantum.Canon.PauliBlockEncodingImpl:Body	1	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0
Microsoft.Quantum.Canon.PauliBlockEncodingImpl:Body	Microsoft.Quantum.Canon.PauliBlockEncoding:Body	1	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0
Microsoft.Quantum.Canon.PauliBlockEncoding:Body	Microsoft.Quantum.Chemistry.JordanWigner.QubitizationOracleSeperatedRegisters_:Body	1	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0
Microsoft.Quantum.Extensions.Convert.ToDouble:Body	Microsoft.Quantum.Chemistry.JordanWigner.QubitizationOracleSeperatedRegisters_:Body	1	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0
Microsoft.Quantum.Extensions.Math.Log:Body	Microsoft.Quantum.Canon.Lg:Body	1	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0
Microsoft.Quantum.Canon.LogOf2:Body	Microsoft.Quantum.Canon.Lg:Body	1	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0
Microsoft.Quantum.Canon.Lg:Body	Microsoft.Quantum.Chemistry.JordanWigner.QubitizationOracleSeperatedRegisters_:Body	1	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0
Microsoft.Quantum.Extensions.Math.Ceiling:Body	Microsoft.Quantum.Chemistry.JordanWigner.QubitizationOracleSeperatedRegisters_:Body	1	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0
Microsoft.Quantum.Canon.QuantumWalkByQubitization:Body	Microsoft.Quantum.Chemistry.JordanWigner.QubitizationOracleSeperatedRegisters_:Body	1	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0
Microsoft.Quantum.Chemistry.JordanWigner.QubitizationOracleSeperatedRegisters_:Body	Microsoft.Quantum.Chemistry.JordanWigner.QubitizationOracle:Body	1	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0
Microsoft.Quantum.Chemistry.JordanWigner.QubitizationOracle:Body	Microsoft.Quantum.Chemistry.Samples.RunQubitizationStep:Body	1	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0
Microsoft.Quantum.Extensions.Math.PI:Body	Microsoft.Quantum.Canon.QuantumWalkByQubitization_:Body	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.FailOn:Body	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.Exp:Body	32768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.IndiciesOfNonIdentity:Body	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.Exp:Body	32768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.PauliArrayByIndex:Body	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.Exp:Body	32768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Implementation.Interface_R:Body	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalR:Body	38719	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalR:Body	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.R:Body	32768	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.R:Body	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.Exp:Body	2	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.Exp:Body	Microsoft.Quantum.Canon.QuantumWalkByQubitization_:Body	1	0	0	NaN	0	0	0	0	NaN	0	0	1	1	NaN	1	1	0	0	NaN	0	0	0	0	NaN	0	0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.Enum_Identity:Body	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalPauli:Body	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Implementation.Interface_Clifford:Body	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalPauli:Body	14	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalPauli:Body	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.X:Body	14	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.X:Body	Microsoft.Quantum.Canon.ApplyToEachCA:Body	14	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Canon.ApplyToEachCA:Body	Microsoft.Quantum.Canon.WithCA:Body	1	0	0	NaN	0	0	14	196	NaN	14	14	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.FailOn:Body	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.MultiControlledU:Body	1	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.FailOn:Body	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.AndLadder:Body	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.FailOn:Body	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.PauliZFlip:Body	131088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.Enum_H:Body	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalH:Body	96159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Implementation.Interface_Clifford:Body	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalH:Body	96159	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalH:Body	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.PauliZFlip:Body	24	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.PauliZFlip:Body	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CCX:Body	12	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Implementation.Interface_RFrac:Body	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalRFrac:Body	24210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalRFrac:Body	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalRzFrac:Body	24210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalRzFrac:Body	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CCZ:Body	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Implementation.Interface_CX:Body	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalCX:Body	238744	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalCX:Body	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.ExpFracZZ:Body	192	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalRzFrac:Body	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.ExpFracZZ:Body	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.ExpFracZZ:Body	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CCZ:Body	36	2	4	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalCX:Body	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.ExpFracZZZ:Body	48	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.ExpFracZZ:Body	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.ExpFracZZZ:Body	24	2	4	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.ExpFracZZZ:Body	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CCZ:Body	12	4	16	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CCZ:Body	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CCX:Body	12	10	100	0	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	49	0	7	7
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.FailOn:Body	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.PauliZFlip:Adjoint	131088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.Enum_H:Body	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalH:Adjoint	60096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Implementation.Interface_Clifford:Body	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalH:Adjoint	60096	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalH:Adjoint	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.PauliZFlip:Adjoint	24	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.PauliZFlip:Adjoint	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CCX:Body	12	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CCX:Body	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.AndLadder:Body	12	10	100	0	10	10	2	4	0	2	2	0	0	0	0	0	0	0	0	0	0	7	49	0	7	7
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.AndLadder:Body	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.MultiControlledU:Body	1	120	14400	NaN	120	120	24	576	NaN	24	24	0	0	NaN	0	0	0	0	NaN	0	0	84	7056	NaN	84	84
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalR:Body	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalRz:Body	5951	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalRz:Body	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.ControlledR1:Body	2	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalCX:Body	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.ExpZZ:Body	2	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalRz:Body	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.ExpZZ:Body	1	0	0	NaN	0	0	0	0	NaN	0	0	1	1	NaN	1	1	0	0	NaN	0	0	0	0	NaN	0	0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.ExpZZ:Body	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.ControlledR1:Body	1	2	4	NaN	2	2	0	0	NaN	0	0	1	1	NaN	1	1	0	0	NaN	0	0	0	0	NaN	0	0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.ControlledR1:Body	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.MultiControlledU:Body	1	2	4	NaN	2	2	0	0	NaN	0	0	3	9	NaN	3	3	0	0	NaN	0	0	0	0	NaN	0	0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.FailOn:Body	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.AndLadder:Adjoint	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.PauliZFlip:Body	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CCX:Adjoint	12	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.InternalRzFrac:Body	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CCZ:Adjoint	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.ExpFracZZ:Body	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CCZ:Adjoint	36	2	4	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.ExpFracZZZ:Body	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CCZ:Adjoint	12	4	16	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CCZ:Adjoint	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CCX:Adjoint	12	10	100	0	10	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	49	0	7	7
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.PauliZFlip:Adjoint	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CCX:Adjoint	12	0	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.CCX:Adjoint	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.AndLadder:Adjoint	12	10	100	0	10	10	2	4	0	2	2	0	0	0	0	0	0	0	0	0	0	7	49	0	7	7
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.AndLadder:Adjoint	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.MultiControlledU:Body	1	120	14400	NaN	120	120	24	576	NaN	24	24	0	0	NaN	0	0	0	0	NaN	0	0	84	7056	NaN	84	84
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.MultiControlledU:Body	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.MultiControlledFromOpAndSinglyCtrldOp:Body	1	242	58564	NaN	242	242	48	2304	NaN	48	48	3	9	NaN	3	3	0	0	NaN	0	0	168	28224	NaN	168	168
Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.MultiControlledFromOpAndSinglyCtrldOp:Body	Microsoft.Quantum.Simulation.Simulators.QCTraceSimulators.Circuits.R1:Controlled	1	242	58564	NaN	242	242	48	2304	NaN	48	48	3	9	NaN	3	3	0	0	NaN	0	0	168	28224	NaN	168	168
