Name	Caller	Count	CNOT:Average	CNOT:SecondMoment	CNOT:Variance	CNOT:Min	CNOT:Max	QubitClifford:Average	QubitClifford:SecondMoment	QubitClifford:Variance	QubitClifford:Min	QubitClifford:Max	R:Average	R:SecondMoment	R:Variance	R:Min	R:Max	Measure:Average	Measure:SecondMoment	Measure:Variance	Measure:Min	Measure:Max	T:Average	T:SecondMoment	T:Variance	T:Min	T:Max
Microsoft.Quantum.Chemistry.HTermToGenIdx:Body	Microsoft.Quantum.Chemistry.JordanWigner.OptimizedBlockEncodingGeneratorSystem:Body	3808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Chemistry.JordanWigner.ZTermToPauliMajIdx_:Body	Microsoft.Quantum.Chemistry.JordanWigner.OptimizedBlockEncodingGeneratorSystem:Body	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Chemistry.JordanWigner.ZZTermToPauliMajIdx_:Body	Microsoft.Quantum.Chemistry.JordanWigner.OptimizedBlockEncodingGeneratorSystem:Body	231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Chemistry.JordanWigner.PQTermToPauliMajIdx_:Body	Microsoft.Quantum.Chemistry.JordanWigner.PQandPQQRTermToPauliMajIdx_:Body	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Chemistry.JordanWigner.PQandPQQRTermToPauliMajIdx_:Body	Microsoft.Quantum.Chemistry.JordanWigner.OptimizedBlockEncodingGeneratorSystem:Body	1550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Extensions.RangeFunctions.RangeStart:Body	Microsoft.Quantum.Canon.IntArrayFromRange:Body	4012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Extensions.RangeFunctions.RangeStep:Body	Microsoft.Quantum.Canon.IntArrayFromRange:Body	4012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Extensions.RangeFunctions.RangeEnd:Body	Microsoft.Quantum.Canon.IntArrayFromRange:Body	4012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Canon.IntArrayFromRange:Body	Microsoft.Quantum.Chemistry.JordanWigner.V0123TermToPauliMajIdx_:Body	4010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Extensions.Math.AbsD:Body	Microsoft.Quantum.Chemistry.IsNotZero:Body	8020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
