Name	Caller	Count	CNOT:Average	CNOT:SecondMoment	CNOT:Variance	CNOT:Min	CNOT:Max	QubitClifford:Average	QubitClifford:SecondMoment	QubitClifford:Variance	QubitClifford:Min	QubitClifford:Max	R:Average	R:SecondMoment	R:Variance	R:Min	R:Max	Measure:Average	Measure:SecondMoment	Measure:Variance	Measure:Min	Measure:Max	T:Average	T:SecondMoment	T:Variance	T:Min	T:Max
Microsoft.Quantum.Chemistry.HTermsToGenSys:Body	Microsoft.Quantum.Chemistry.JordanWigner.JordanWignerGeneratorSystem:Body	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Canon.IdentityGeneratorSystem:Body	Microsoft.Quantum.Canon.SumGeneratorSystems:Body	1	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0
Microsoft.Quantum.Canon.GetGeneratorSystemNTerms:Body	Microsoft.Quantum.Canon.AddGeneratorSystems:Body	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Canon.GetGeneratorSystemFunction:Body	Microsoft.Quantum.Canon.AddGeneratorSystems:Body	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Canon.AddGeneratorSystems:Body	Microsoft.Quantum.Canon.Fold:Body	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Canon.Fold:Body	Microsoft.Quantum.Canon.SumGeneratorSystems:Body	1	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0
Microsoft.Quantum.Canon.SumGeneratorSystems:Body	Microsoft.Quantum.Chemistry.JordanWigner.JordanWignerGeneratorSystem:Body	1	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0
Microsoft.Quantum.Chemistry.JordanWigner.JordanWignerGeneratorSystem:Body	Microsoft.Quantum.Chemistry.JordanWigner.TrotterStepOracle:Body	1	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0
Microsoft.Quantum.Chemistry.JordanWigner.JordanWignerFermionEvolutionSet:Body	Microsoft.Quantum.Chemistry.JordanWigner.TrotterStepOracle:Body	1	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0
Microsoft.Quantum.Canon.TrotterSimulationAlgorithm:Body	Microsoft.Quantum.Chemistry.JordanWigner.TrotterStepOracle:Body	1	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0
Microsoft.Quantum.Chemistry.JordanWigner.TrotterStepOracle:Body	Microsoft.Quantum.Chemistry.Samples.RunTrotterStep:Body	1	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0
Microsoft.Quantum.Extensions.Math.Ceiling:Body	Microsoft.Quantum.Canon.TrotterSimulationAlgorithmImpl:Body	1	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0
Microsoft.Quantum.Extensions.Convert.ToDouble:Body	Microsoft.Quantum.Canon.TrotterSimulationAlgorithmImpl:Body	1	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0
Microsoft.Quantum.Canon.DecomposeIntoTimeStepsCA:Body	Microsoft.Quantum.Canon.TrotterStep:Body	1	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0
Microsoft.Quantum.Canon.TrotterStep:Body	Microsoft.Quantum.Canon.TrotterSimulationAlgorithmImpl:Body	1	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0	0	0	NaN	0	0
Microsoft.Quantum.Chemistry.HTermToGenIdx:Body	Microsoft.Quantum.Chemistry.HTermsToGenIdx:Body	3808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Chemistry.HTermsToGenIdx:Body	Microsoft.Quantum.Canon._AddGeneratorSystems:Body	3808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microsoft.Quantum.Canon._AddGeneratorSystems:Body	Microsoft.Quantum.Canon._AddGeneratorSystems:Body	2078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
