# wave function for qubits with ids (least to most significant): 6;5;4;3;2;1;0
∣  0❭:	 0.470162 +  0.000000 i	 == 	*****                [ 0.221053 ]     --- [  0.00000 rad ]
∣  1❭:	 0.463777 +  0.000000 i	 == 	*****                [ 0.215089 ]     --- [  0.00000 rad ]
∣  2❭:	 0.130161 +  0.000000 i	 == 	*                    [ 0.016942 ]     --- [  0.00000 rad ]
∣  3❭:	 0.051171 +  0.000000 i	 == 	*                    [ 0.002618 ]     --- [  0.00000 rad ]
∣  4❭:	 0.187480 +  0.000000 i	 == 	*                    [ 0.035149 ]     --- [  0.00000 rad ]
∣  5❭:	 0.168748 +  0.000000 i	 == 	*                    [ 0.028476 ]     --- [  0.00000 rad ]
∣  6❭:	 0.106957 +  0.000000 i	 == 	*                    [ 0.011440 ]     --- [  0.00000 rad ]
∣  7❭:	 0.004868 +  0.000000 i	 == 	*                    [ 0.000024 ]     --- [  0.00000 rad ]
∣  8❭:	 0.192977 +  0.000000 i	 == 	*                    [ 0.037240 ]     --- [  0.00000 rad ]
∣  9❭:	 0.186687 +  0.000000 i	 == 	*                    [ 0.034852 ]     --- [  0.00000 rad ]
∣ 10❭:	 0.074053 +  0.000000 i	 == 	*                    [ 0.005484 ]     --- [  0.00000 rad ]
∣ 11❭:	 0.010565 +  0.000000 i	 == 	*                    [ 0.000112 ]     --- [  0.00000 rad ]
∣ 12❭:	 0.081217 +  0.000000 i	 == 	*                    [ 0.006596 ]     --- [  0.00000 rad ]
∣ 13❭:	 0.058349 +  0.000000 i	 == 	*                    [ 0.003405 ]     --- [  0.00000 rad ]
∣ 14❭:	 0.058140 +  0.000000 i	 == 	*                    [ 0.003380 ]     --- [  0.00000 rad ]
∣ 15❭:	 0.000836 +  0.000000 i	 == 	*                    [ 0.000001 ]     --- [  0.00000 rad ]
∣ 16❭:	 0.194255 +  0.000000 i	 == 	*                    [ 0.037735 ]     --- [  0.00000 rad ]
∣ 17❭:	 0.190571 +  0.000000 i	 == 	*                    [ 0.036317 ]     --- [  0.00000 rad ]
∣ 18❭:	 0.061201 +  0.000000 i	 == 	*                    [ 0.003746 ]     --- [  0.00000 rad ]
∣ 19❭:	 0.014973 +  0.000000 i	 == 	*                    [ 0.000224 ]     --- [  0.00000 rad ]
∣ 20❭:	 0.078431 +  0.000000 i	 == 	*                    [ 0.006151 ]     --- [  0.00000 rad ]
∣ 21❭:	 0.065032 +  0.000000 i	 == 	*                    [ 0.004229 ]     --- [  0.00000 rad ]
∣ 22❭:	 0.051619 +  0.000000 i	 == 	*                    [ 0.002665 ]     --- [  0.00000 rad ]
∣ 23❭:	 0.001317 +  0.000000 i	 == 	*                    [ 0.000002 ]     --- [  0.00000 rad ]
∣ 24❭:	 0.079243 +  0.000000 i	 == 	*                    [ 0.006280 ]     --- [  0.00000 rad ]
∣ 25❭:	 0.074703 +  0.000000 i	 == 	*                    [ 0.005581 ]     --- [  0.00000 rad ]
∣ 26❭:	 0.037501 +  0.000000 i	 == 	*                    [ 0.001406 ]     --- [  0.00000 rad ]
∣ 27❭:	 0.003036 +  0.000000 i	 == 	*                    [ 0.000009 ]     --- [  0.00000 rad ]
